700 (cycle, state) pages to scrape across 14 cycles
  2024 WI: 23 result rows, 16 party-races
  2024 WY (at-large): 3 result rows, 2 party-races
  ... 700/700 pages checked, 12197 rows so far, 438 pages had primary data
merged-round guard: collapsed duplicates in 11 races, trimmed 38 stale round-1-only rows from detected runoffs

saved -> C:\Users\pjmer\Documents\Polling prediction model\data\house_primary_results_hist.csv
4900 House party-races with primary results, 700 pages checked, 438 pages had ANY primary data

races per cycle (coverage GROWS GRADUALLY 1998->2012, not a cutoff - see the docstring's COVERAGE note; treat pre-2010 rows as real but sparse):
year
1998     76
2000     92
2002    124
2004    116
2006    185
2008    177
2010    242
2012    563
2014    508
2016    526
2018    591
2020    580
2022    570
2024    550
